top_category,sub_category,naics_code,n_pois,naics_2digit
Drycleaning and Laundry Services,Drycleaning and Laundry Services (except Coin-Operated),812320,49008,81
Educational Support Services,Educational Support Services,611710,190,61
"Electric Power Generation, Transmission and Distribution",Electric Power Distribution,221122,10,22
"Electric Power Generation, Transmission and Distribution",Fossil Fuel Electric Power Generation,221112,1418,22
"Electric Power Generation, Transmission and Distribution",Hydroelectric Power Generation,221111,1525,22
"Electric Power Generation, Transmission and Distribution",Solar Electric Power Generation,221114,991,22
"Electric Power Generation, Transmission and Distribution",Wind Electric Power Generation,221115,272,22
Electrical Equipment Manufacturing,Motor and Generator Manufacturing,335312,8,33
Electronic Shopping and Mail-Order Houses,Electronic Shopping and Mail-Order Houses,454110,1,45
Electronic and Precision Equipment Repair and Maintenance,Computer and Office Machine Repair and Maintenance,811212,415,81
Electronic and Precision Equipment Repair and Maintenance,Consumer Electronics Repair and Maintenance,811211,36493,81
Electronic and Precision Equipment Repair and Maintenance,Other Electronic and Precision Equipment Repair and Maintenance,811219,79,81
Electronics and Appliance Stores,Electronics Stores,443142,67283,44
Electronics and Appliance Stores,Household Appliance Stores,443141,8870,44
Elementary and Secondary Schools,Elementary and Secondary Schools,611110,110850,61
Employment Services,Employment Placement Agencies,561311,44744,56
Employment Services,Temporary Help Services,561320,1913,56
"Engine, Turbine, and Power Transmission Equipment Manufacturing","Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing",333612,23,33
"Executive, Legislative, and Other General Government Support",Executive Offices,921110,143,92
"Executive, Legislative, and Other General Government Support",Other General Government Support,921190,2,92
"Executive, Legislative, and Other General Government Support",Public Finance Activities,921130,3,92
Farm Product Raw Material Merchant Wholesalers,Grain and Field Bean Merchant Wholesalers,424510,33,42
Florists,Florists,453110,32126,45
Footwear Manufacturing,Footwear Manufacturing,316210,32,31
"Foundation, Structure, and Building Exterior Contractors",Glass and Glazing Contractors,238150,8820,23
"Foundation, Structure, and Building Exterior Contractors",Masonry Contractors,238140,97,23
